PERMNO,date,TICKER,PERMCO,PRC,VOL,RET,vwretd,sprtrn
91005,16/05/2012,KBE,39147,21.80000,2013000,-0.010440,-0.004928,-0.004404
91005,17/05/2012,KBE,39147,21.45000,5235900,-0.016055,-0.015851,-0.015051
91005,18/05/2012,KBE,39147,21.22000,4054800,-0.010723,-0.008146,-0.007388
91005,21/05/2012,KBE,39147,21.42000,1471000,0.009425,0.017760,0.016036
91005,22/05/2012,KBE,39147,21.64000,4868500,0.010271,-0.000478,0.000486
91005,23/05/2012,KBE,39147,21.80000,2697600,0.007394,0.002815,0.001694
91005,24/05/2012,KBE,39147,21.87000,2165000,0.003211,0.000983,0.001380
91005,25/05/2012,KBE,39147,21.80000,1772600,-0.003201,-0.001541,-0.002166
91005,29/05/2012,KBE,39147,22.06000,1216300,0.011927,0.011225,0.011079
91005,30/05/2012,KBE,39147,21.52000,2689700,-0.024479,-0.015504,-0.014335
91005,31/05/2012,KBE,39147,21.70000,4332300,0.008364,-0.001977,-0.002277
91005,01/06/2012,KBE,39147,20.63000,3993900,-0.049309,-0.024513,-0.024643
91005,04/06/2012,KBE,39147,20.25000,2493500,-0.018420,-0.001015,0.000110
91005,05/06/2012,KBE,39147,20.38000,3319500,0.006420,0.007864,0.005727
91005,06/06/2012,KBE,39147,20.85000,1624600,0.023062,0.022700,0.023049
91005,07/06/2012,KBE,39147,20.99000,3678600,0.006715,-0.001369,-0.000106
91005,08/06/2012,KBE,39147,21.27000,3030300,0.013340,0.007115,0.008114
91005,11/06/2012,KBE,39147,20.78000,1994800,-0.023037,-0.013967,-0.012620
91005,12/06/2012,KBE,39147,21.07000,2201500,0.013956,0.011646,0.011651
91005,13/06/2012,KBE,39147,20.96000,2062000,-0.005221,-0.006954,-0.007023
91005,14/06/2012,KBE,39147,21.25000,2772600,0.013836,0.009500,0.010815
91005,15/06/2012,KBE,39147,21.46000,2988400,0.015039,0.010111,0.010338
91005,18/06/2012,KBE,39147,21.36000,3449800,-0.004660,0.002190,0.001445
91005,19/06/2012,KBE,39147,21.75000,1739600,0.018258,0.011640,0.009816
91005,20/06/2012,KBE,39147,21.81000,2286800,0.002759,-0.001471,-0.001686
91005,21/06/2012,KBE,39147,21.30000,2841600,-0.023384,-0.023472,-0.022262
91005,22/06/2012,KBE,39147,21.59000,1331000,0.013615,0.007254,0.007175
91005,25/06/2012,KBE,39147,21.10000,1712000,-0.022696,-0.015450,-0.015955
91005,26/06/2012,KBE,39147,21.22000,2421900,0.005687,0.004870,0.004773
91005,27/06/2012,KBE,39147,21.52000,1940900,0.014138,0.009036,0.008985
91005,28/06/2012,KBE,39147,21.56000,1371500,0.001859,-0.002109,-0.002110
91005,29/06/2012,KBE,39147,22.04000,2010600,0.022264,0.025635,0.024920
91005,02/07/2012,KBE,39147,22.19000,1038400,0.006806,0.003868,0.002459
91005,03/07/2012,KBE,39147,22.32000,729600,0.005858,0.008966,0.006232
91005,05/07/2012,KBE,39147,22.10000,3580000,-0.009857,-0.004144,-0.004687
91005,06/07/2012,KBE,39147,21.97000,830900,-0.005882,-0.009964,-0.009433
91005,09/07/2012,KBE,39147,21.74000,645900,-0.010469,-0.002202,-0.001639
91005,10/07/2012,KBE,39147,21.55000,2094500,-0.008740,-0.008814,-0.008126
91005,11/07/2012,KBE,39147,21.74000,2558600,0.008817,-0.000290,-0.000015
91005,12/07/2012,KBE,39147,21.54000,2382200,-0.009200,-0.004878,-0.004987
91005,13/07/2012,KBE,39147,22.12000,1858400,0.026927,0.015261,0.016497
91005,16/07/2012,KBE,39147,22.07000,1731900,-0.002260,-0.002480,-0.002314
91005,17/07/2012,KBE,39147,22.33000,1114800,0.011781,0.006707,0.007410
91005,18/07/2012,KBE,39147,22.14000,1033900,-0.008509,0.006261,0.006681
91005,19/07/2012,KBE,39147,21.87000,1614400,-0.012195,0.002839,0.002717
91005,20/07/2012,KBE,39147,21.44000,1485300,-0.019662,-0.009917,-0.010062
91005,23/07/2012,KBE,39147,21.12000,1545100,-0.014925,-0.010165,-0.008909
91005,24/07/2012,KBE,39147,21.19000,924300,0.003314,-0.009426,-0.009041
91005,25/07/2012,KBE,39147,21.28000,2716200,0.004247,0.000714,-0.000314
91005,26/07/2012,KBE,39147,21.51000,2356100,0.010808,0.015513,0.016541
91005,27/07/2012,KBE,39147,21.82000,3400600,0.014412,0.018950,0.019081
91005,30/07/2012,KBE,39147,21.77000,957600,-0.002291,-0.000763,-0.000483
91005,31/07/2012,KBE,39147,21.72000,1552900,-0.002297,-0.004994,-0.004317
91005,01/08/2012,KBE,39147,21.63000,1341400,-0.004144,-0.004475,-0.003030
91005,02/08/2012,KBE,39147,21.40000,1023600,-0.010633,-0.007294,-0.007374
91005,03/08/2012,KBE,39147,21.98000,2163600,0.027103,0.019230,0.019040
91005,06/08/2012,KBE,39147,21.98000,1578900,0.000000,0.003534,0.002329
91005,07/08/2012,KBE,39147,22.21000,1275600,0.010464,0.006358,0.005107
91005,08/08/2012,KBE,39147,22.28000,372300,0.003152,0.000179,0.000621
91005,09/08/2012,KBE,39147,22.24000,438600,-0.001795,0.001648,0.000414
91005,10/08/2012,KBE,39147,22.19000,807300,-0.002248,0.001869,0.002188
91005,13/08/2012,KBE,39147,22.21000,381900,0.000901,-0.001884,-0.001252
